Sentence,Number of Nouns,Positions of Nouns,Total Words,Accusative Nouns
"""Ŝi pendigis veston""",1,[3],3,veston
"""La telefono sonoris""",1,[2],3,
"""La teo varmiĝas""",1,[2],3,
"""Kvankam mi laboris tutan tagon, mi ankoraŭ prenis mian libron kaj legis""",1,[10],12,libron
"""Mi portas ĉapelon""",1,[3],3,ĉapelon
"""La krajono rompiĝas""",1,[2],3,
"""Ŝi trinkas vinon""",1,[3],3,vinon
"""La arbo ombras""",1,[2],3,
"""Vi ĉiam preferas tiun""",1,[4],4,tiun
"""La libro estas interesa""",1,[2],4,
"""Ŝi estis tre feliĉa kaj saltis sur la plaĝon""",1,[9],9,plaĝon
"""La vento blovas""",1,[2],3,
"""En la muzeo, mi vidis pentraĵon, skulptaĵon, kaj fotografaĵon""",1,[9],9,fotografaĵon
"""Hundoj estas amikaj""",1,[1],3,
"""La suno brilas""",1,[2],3,
"""La neĝo blankas""",1,[2],3,
"""Vi surprizis nin""",1,[3],3,nin
"""En la mateno, mi ĉiam trinkas mian kafojn""",1,[8],8,kafojn
"""Ŝi desegnas domon""",1,[3],3,domon
"""La ŝipo glitas""",1,[2],3,
"""Mi havas la bildon""",1,[4],4,bildon
"""Ŝi serĉas monujon""",1,[3],3,monujon
"""Ni amas la katojn""",1,[4],4,katojn
"""Post kiam ni lernis la bazajn regulojn, ni komencis skribi poemojn""",1,[11],11,poemojn
"""La birdo kantas""",1,[2],3,
"""En la kafejo, oni povas aĉeti kafo, teo, kaj kuko""",1,[10],10,
"""Mi vidas la hundon""",1,[4],4,hundon
"""Ŝi estas muzikisto""",1,[3],3,
"""La luno brilas""",1,[2],3,
"""Ili rigardas la filmojn""",1,[4],4,filmojn
"""Mi mangxas glacion""",1,[3],3,glacion
"""La kato ronronas""",1,[2],3,
"""Malgraŭ sia timo, ŝi saltis de la altponton""",1,[8],8,altponton
"""La monto altas""",1,[2],3,
"""La kuko dolĉas""",1,[2],3,
"""Mi elektis tiun ĉi""",1,[3],4,tiun
"""La birdoj kantas""",1,[2],3,
"""La fenestro malfermiĝas""",1,[2],3,
"""Mi kredas lin""",1,[3],3,lin
"""La lampo lumigas""",1,[2],3,
"""La muziko sonas""",1,[2],3,
"""La panjo ridas""",1,[2],3,
"""Li vidis birdon""",1,[3],3,birdon
"""Mi metis la posxtelefonon""",1,[4],4,posxtelefonon
"""La luno lumas""",1,[2],3,
"""La ĉielo bluas""",1,[2],3,
